target_cola_pct,required_september_cpi_w,additional_index_gap,gasoline_only_shock_pct,gasoline_regular_price_if_only_gas,other_motor_fuel_only_shock_pct,diesel_price_if_only_other_motor_fuel
0.0,295.7331029999998,0.0,0.0,4.2,0.0,5.547
0.1,296.68489699999986,0.0,0.0,4.2,0.0,5.547
0.2,297.6366909999999,0.0,0.0,4.2,0.0,5.547
0.3,298.588485,0.0,0.0,4.2,0.0,5.547
0.4,299.54027900000006,0.0,0.0,4.2,0.0,5.547
0.5,300.4920729999999,0.0,0.0,4.2,0.0,5.547
0.6,301.44386699999995,0.0,0.0,4.2,0.0,5.547
0.7,302.3956609999998,0.0,0.0,4.2,0.0,5.547
0.8,303.3474550000001,0.0,0.0,4.2,0.0,5.547
0.9,304.2992489999999,0.0,0.0,4.2,0.0,5.547
1.0,305.251043,0.0,0.0,4.2,0.0,5.547
1.1,306.2028369999998,0.0,0.0,4.2,0.0,5.547
1.2,307.1546309999999,0.0,0.0,4.2,0.0,5.547
1.3,308.10642499999994,0.0,0.0,4.2,0.0,5.547
1.4,309.058219,0.0,0.0,4.2,0.0,5.547
1.5,310.01001299999984,0.0,0.0,4.2,0.0,5.547
1.6,310.96180700000014,0.0,0.0,4.2,0.0,5.547
1.7,311.91360099999997,0.0,0.0,4.2,0.0,5.547
1.8,312.86539500000003,0.0,0.0,4.2,0.0,5.547
1.9,313.81718899999987,0.0,0.0,4.2,0.0,5.547
2.0,314.76898299999993,0.0,0.0,4.2,0.0,5.547
2.1,315.72077699999977,0.0,0.0,4.2,0.0,5.547
2.2,316.67257099999983,0.0,0.0,4.2,0.0,5.547
2.3,317.6243649999999,0.0,0.0,4.2,0.0,5.547
2.4,318.57615899999996,0.0,0.0,4.2,0.0,5.547
2.5,319.527953,0.0,0.0,4.2,0.0,5.547
2.6,320.4797470000001,0.0,0.0,4.2,0.0,5.547
2.7,321.4315409999999,0.0,0.0,4.2,0.0,5.547
2.8,322.383335,0.0,0.0,4.2,0.0,5.547
2.9,323.3351289999998,0.0,0.0,4.2,0.0,5.547
3.0,324.2869229999999,0.0,0.0,4.2,0.0,5.547
3.1,325.2387169999997,0.0,0.0,4.2,0.0,5.547
3.2,326.190511,0.0,0.0,4.2,0.0,5.547
3.3,327.14230499999985,0.0,0.0,4.2,0.0,5.547
3.4,328.0940989999999,0.0,0.0,4.2,0.0,5.547
3.5,329.045893,0.037711026238469,0.2886434891408011,4.212123026543914,10.712180330636647,6.141204642940415
3.6,329.99768700000004,0.9895050262385325,7.573757910743227,4.5180978322512155,281.07843610805,21.138420850913533
3.7,330.9494809999999,1.9412990262383687,14.858872332343912,4.824072637958444,551.4446918853988,36.13563705888307
3.8,331.90127500000017,2.8930930262386596,22.143986753948077,5.13004744366582,821.8109476628769,51.132853266859776
3.9,332.853069,3.8448870262384958,29.429101175548762,5.436022249373048,1092.1772034402256,66.13006947482931
4.0,333.80486300000007,4.796681026238559,36.71421559715119,5.7419970550803505,1362.5434592176389,81.12728568280244
4.1,334.7566569999999,5.7484750262383955,43.99933001875188,6.0479718607875785,1632.9097149949878,96.12450189077197
4.2,335.70845099999997,6.700269026238459,51.28444444035431,6.353946666494881,1903.2759707724013,111.12171809874509
4.3,336.6602449999998,7.652063026238295,58.56955886195499,6.65992147220211,2173.64222654975,126.11893430671462
4.4,337.61203899999987,8.603857026238359,65.8546732835574,6.965896277909412,2444.008482327163,141.11615051468775
4.5,338.56383299999993,9.555651026238422,73.13978770515983,7.2718710836167135,2714.374738104577,156.11336672266086
4.6,339.515627,10.507445026238486,80.42490212676226,7.577845889324016,2984.74099388199,171.11058293063397
4.7,340.46742100000006,11.45923902623855,87.71001654836469,7.883820695031317,3255.107249659404,186.10779913860713
4.8,341.4192150000001,12.411033026238613,94.99513096996711,8.189795500738619,3525.473505436817,201.10501534658022
4.9,342.37100899999996,13.362827026238449,102.28024539156779,8.495770306445849,3795.839761214166,216.10223155454977
5.0,343.322803,14.314621026238513,109.56535981317022,8.80174511215315,4066.206016991579,231.09944776252289
5.1,344.27459699999986,15.266415026238349,116.8504742347709,9.10771991786038,4336.572272768928,246.09666397049244
5.2,345.2263909999999,16.218209026238412,124.13558865637333,9.41369472356768,4606.938528546341,261.09388017846555
5.3,346.17818499999976,17.17000302623825,131.42070307797403,9.71966952927491,4877.30478432369,276.0910963864351
5.4,347.12997900000005,18.12179702623854,138.7058174995782,10.025644334982285,5147.671040101168,291.0883125944118
5.5,348.0817729999999,19.073591026238375,145.99093192117886,10.331619140689513,5418.037295878517,306.0855288023813
5.6,349.03356699999995,20.02538502623844,153.27604634278129,10.637593946396816,5688.40355165593,321.0827450103544
5.7,349.985361,20.977179026238503,160.56116076438371,10.943568752104117,5958.769807433344,336.0799612183276
5.8,350.9371550000001,21.928973026238566,167.84627518598614,11.249543557811418,6229.136063210757,351.0771774263007
