gasoline_shock_pct,other_motor_fuel_shock_pct,september_cpi_w_all_items,q3_cpi_w_average,cola_raw_pct,cola_rounded_pct
0.0,0.0,329.0081819737615,328.1977273245872,3.4460379004030006,3.4
0.0,5.0,329.0257839114971,328.20359463716574,3.447887243615455,3.4
0.0,10.0,329.0433858492327,328.20946194974425,3.4497365868279095,3.4
0.0,15.000000000000002,329.0609877869683,328.21532926232277,3.451585930040364,3.5
0.0,20.0,329.0785897247039,328.2211965749013,3.4534352732528184,3.5
0.0,25.0,329.0961916624395,328.2270638874798,3.455284616465273,3.5
0.0,30.000000000000004,329.1137936001751,328.2329312000584,3.4571339596777455,3.5
0.0,35.0,329.1313955379107,328.23879851263695,3.4589833028902177,3.5
0.0,40.0,329.1489974756463,328.24466582521546,3.460832646102672,3.5
0.0,45.0,329.1665994133819,328.250533137794,3.4626819893151266,3.5
0.0,50.0,329.18420135111745,328.2564004503725,3.464531332527581,3.5
0.0,55.00000000000001,329.20180328885306,328.262267762951,3.4663806757400355,3.5
0.0,60.00000000000001,329.21940522658866,328.2681350755295,3.46823001895249,3.5
0.0,65.0,329.23700716432427,328.2740023881081,3.470079362164962,3.5
0.0,70.0,329.2546091020599,328.2798697006867,3.471928705377435,3.5
0.0,75.0,329.2722110397955,328.2857370132652,3.4737780485898893,3.5
0.0,80.0,329.289812977531,328.2916043258437,3.4756273918023437,3.5
0.0,85.00000000000001,329.30741491526663,328.2974716384222,3.477476735014798,3.5
0.0,90.0,329.32501685300224,328.30333895100074,3.4793260782272526,3.5
0.0,95.0,329.34261879073784,328.30920626357926,3.481175421439707,3.5
0.0,100.0,329.36022072847345,328.31507357615783,3.4830247646521793,3.5
0.0,105.0,329.37782266620906,328.3209408887364,3.4848741078646515,3.5
0.0,110.00000000000001,329.3954246039446,328.32680820131486,3.486723451077088,3.5
0.0,115.00000000000001,329.4130265416802,328.33267551389343,3.488572794289561,3.5
0.0,120.00000000000001,329.4306284794158,328.33854282647195,3.4904221375020152,3.5
0.0,125.0,329.4482304171514,328.34441013905047,3.4922714807144697,3.5
0.0,130.0,329.465832354887,328.350277451629,3.494120823926924,3.5
0.0,135.0,329.48343429262263,328.35614476420756,3.4959701671393963,3.5
0.0,140.0,329.5010362303582,328.3620120767861,3.497819510351851,3.5
0.0,145.00000000000003,329.5186381680938,328.3678793893646,3.4996688535643052,3.5
0.0,150.0,329.5362401058294,328.37374670194316,3.5015181967767774,3.5
0.0,155.0,329.553842043565,328.3796140145217,3.503367539989232,3.5
0.0,160.0,329.5714439813006,328.3854813271002,3.5052168832016863,3.5
0.0,165.0,329.5890459190362,328.3913486396787,3.507066226414141,3.5
0.0,170.00000000000003,329.60664785677176,328.3972159522573,3.5089155696266134,3.5
0.0,175.0,329.62424979450736,328.4030832648358,3.510764912839068,3.5
0.0,180.0,329.64185173224297,328.4089505774143,3.5126142560515223,3.5
0.0,185.0,329.6594536699786,328.4148178899929,3.5144635992639945,3.5
0.0,190.0,329.6770556077142,328.4206852025714,3.516312942476449,3.5
0.0,195.00000000000003,329.6946575454498,328.4265525151499,3.5181622856889034,3.5
0.0,200.0,329.71225948318533,328.43241982772844,3.520011628901358,3.5
0.0,205.00000000000003,329.72986142092094,328.438287140307,3.5218609721138305,3.5
0.0,210.0,329.74746335865655,328.4441544528855,3.523710315326285,3.5
0.0,215.0,329.76506529639215,328.45002176546404,3.5255596585387394,3.5
0.0,220.00000000000003,329.78266723412776,328.4558890780426,3.5274090017512116,3.5
0.0,225.0,329.80026917186336,328.46175639062113,3.529258344963666,3.5
0.0,230.00000000000003,329.8178711095989,328.46762370319965,3.5311076881761205,3.5
0.0,235.0,329.8354730473345,328.47349101577817,3.532957031388575,3.5
0.0,240.00000000000003,329.8530749850701,328.47935832835674,3.534806374601047,3.5
0.0,245.00000000000003,329.8706769228057,328.48522564093525,3.5366557178135016,3.5
0.0,250.0,329.88827886054133,328.49109295351377,3.538505061025956,3.5
0.0,255.00000000000003,329.90588079827694,328.49696026609234,3.5403544042384287,3.5
0.0,260.0,329.9234827360125,328.50282757867086,3.542203747450883,3.5
0.0,265.00000000000006,329.9410846737481,328.5086948912494,3.5440530906633376,3.5
0.0,270.0,329.9586866114837,328.5145622038279,3.545902433875792,3.5
0.0,275.0,329.9762885492193,328.52042951640647,3.5477517770882643,3.5
0.0,280.0,329.9938904869549,328.526296828985,3.5496011203007187,3.5
0.0,285.0,330.0114924246905,328.5321641415635,3.551450463513173,3.6
0.0,290.00000000000006,330.02909436242606,328.5380314541421,3.553299806725646,3.6
0.0,295.0,330.04669630016167,328.5438987667206,3.5551491499381003,3.6
0.0,300.0,330.0642982378973,328.5497660792991,3.5569984931505547,3.6
5.0,0.0,329.6614277190704,328.4154759063568,3.514671002241078,3.5
5.0,5.0,329.679029656806,328.42134321893536,3.51652034545355,3.5
5.0,10.0,329.6966315945416,328.4272105315139,3.5183696886660045,3.5
5.0,15.000000000000002,329.7142335322772,328.4330778440924,3.520219031878459,3.5
5.0,20.0,329.7318354700128,328.43894515667097,3.5220683750909316,3.5
5.0,25.0,329.7494374077484,328.4448124692495,3.523917718303386,3.5
5.0,30.000000000000004,329.76703934548397,328.450679781828,3.5257670615158405,3.5
5.0,35.0,329.78464128321957,328.4565470944065,3.527616404728295,3.5
5.0,40.0,329.8022432209552,328.4624144069851,3.529465747940767,3.5
