target_cola_pct,required_september_cpi_w,diesel_only_shock_pct,diesel_price_if_only_diesel,direct_index_increment_at_threshold,indirect_index_increment_at_threshold
0.0,295.7331029999998,0.0,5.547,0.0,0.0
0.1,296.68489699999986,0.0,5.547,0.0,0.0
0.2,297.6366909999999,0.0,5.547,0.0,0.0
0.3,298.588485,0.0,5.547,0.0,0.0
0.4,299.54027900000006,0.0,5.547,0.0,0.0
0.5,300.4920729999999,0.0,5.547,0.0,0.0
0.6,301.44386699999995,0.0,5.547,0.0,0.0
0.7,302.3956609999998,0.0,5.547,0.0,0.0
0.8,303.3474550000001,0.0,5.547,0.0,0.0
0.9,304.2992489999999,0.0,5.547,0.0,0.0
1.0,305.251043,0.0,5.547,0.0,0.0
1.1,306.2028369999998,0.0,5.547,0.0,0.0
1.2,307.1546309999999,0.0,5.547,0.0,0.0
1.3,308.10642499999994,0.0,5.547,0.0,0.0
1.4,309.058219,0.0,5.547,0.0,0.0
1.5,310.01001299999984,0.0,5.547,0.0,0.0
1.6,310.96180700000014,0.0,5.547,0.0,0.0
1.7,311.91360099999997,0.0,5.547,0.0,0.0
1.8,312.86539500000003,0.0,5.547,0.0,0.0
1.9,313.81718899999987,0.0,5.547,0.0,0.0
2.0,314.76898299999993,0.0,5.547,0.0,0.0
2.1,315.72077699999977,0.0,5.547,0.0,0.0
2.2,316.67257099999983,0.0,5.547,0.0,0.0
2.3,317.6243649999999,0.0,5.547,0.0,0.0
2.4,318.57615899999996,0.0,5.547,0.0,0.0
2.5,319.527953,0.0,5.547,0.0,0.0
2.6,320.4797470000001,0.0,5.547,0.0,0.0
2.7,321.4315409999999,0.0,5.547,0.0,0.0
2.8,322.383335,0.0,5.547,0.0,0.0
2.9,323.3351289999998,0.0,5.547,0.0,0.0
3.0,324.2869229999999,0.0,5.547,0.0,0.0
3.1,325.2387169999997,0.0,5.547,0.0,0.0
3.2,326.190511,0.0,5.547,0.0,0.0
3.3,327.14230499999985,0.0,5.547,0.0,0.0
3.4,328.0940989999999,0.0,5.547,0.0,0.0
3.5,329.045893,3.222447982999937,5.725749189617006,0.011344265750592516,0.02636676048783218
3.6,329.99768700000004,107.98946828720482,11.53717580589125,0.38016477937830484,0.6093402468601922
3.7,330.9494809999999,253.07636138765605,19.58514576617328,0.8909268710993549,1.0503721551390017
3.8,331.90127500000017,428.0451978824503,29.290667126539514,1.5068849842295722,1.38620804200908
3.9,332.853069,623.6534232263734,40.14105538636693,2.195501744844415,1.6493852813940464
4.0,333.80486300000007,833.556630539047,51.78438629600094,2.934442381968341,1.8622386442702066
4.1,334.7566569999999,1053.6412778823992,63.992481684136685,3.7092256337880096,2.039249392450376
4.2,335.70845099999997,1281.2190144505237,76.61621873157054,4.51038746360402,2.1898815626343966
4.3,336.6602449999998,1514.4834759024836,89.55539840831078,5.331568768884978,2.320494257353264
4.4,337.61203899999987,1752.1817663773409,102.7405225809511,6.168358870644199,2.4354981555941455
4.5,338.56383299999993,1993.418047807476,116.12189911188068,7.017604071704199,2.5380469545341913
4.6,339.515627,2237.5339490764804,129.66300815527237,7.876986650585396,2.630458375653077
4.7,340.46742100000006,2484.033728089173,143.33635089710643,8.744761402989326,2.714477623249173
4.8,341.4192150000001,2732.5360564967596,157.12077505387524,9.61958590534553,2.791447120893036
4.9,342.37100899999996,2982.742072978734,170.99970278813038,10.500408049982987,2.8624189762554413
5.0,343.322803,3234.4136582780784,184.959925624685,11.386389564834559,2.928231461403898
5.1,344.27459699999986,3487.358306964733,198.99076528733374,12.276852756181512,2.989562270056811
5.2,345.2263909999999,3741.418364195139,213.08347666190434,13.171242617875835,3.046966408362522
5.3,346.17818499999976,3996.4632179376367,227.2308146990007,14.069099344947775,3.100903681290453
5.4,347.12997900000005,4252.383534831537,241.4267146771053,14.970038041595872,3.1517589846426675
5.5,348.0817729999999,4509.086936556057,255.66605237076445,15.87373350033002,3.1998575259083037
5.6,349.03356699999995,4766.4947095314365,269.9444615377088,16.77990861884425,3.2454764073941402
5.7,349.985361,5024.539267827086,284.2581931863685,17.68832546847014,3.288853557768317
5.8,350.9371550000001,5283.162173202115,298.6040057475213,18.59877832395219,3.3301947022863487
5.9,351.8889489999999,5542.312572823199,312.9790784145028,19.51108816360923,3.3696788626291276
6.0,352.840743,5801.945954011779,327.3809420690333,20.425098285561972,3.4074627406764537
6.1,353.7925369999998,6062.023142385236,341.80742370810896,21.340670780801677,3.4436842454365784
