gasoline_shock_pct,diesel_shock_pct,direct_index_increment,indirect_index_increment,indirect_log_change,september_cpi_w_all_items,q3_cpi_w_average,cola_raw_pct,cola_rounded_pct
0.0,0.0,0.0,0.0,0.0,329.0081819737615,328.1977273245872,3.4460379004030006,3.4
0.0,5.0,0.01760193773559624,0.04056185289237851,0.00012327764165512376,329.0663457643895,328.2171152547965,3.4521488646061655,3.5
0.0,10.0,0.03520387547119248,0.07924106789395854,0.0002408193206975169,329.1226269171267,328.23587563904226,3.458062029927365,3.5
0.0,15.000000000000002,0.05280581320678873,0.11620487526398286,0.0003531351644834896,329.1771926622323,328.2540642207441,3.4637949663721788,3.5
0.0,20.0,0.07040775094238497,0.15159915972895432,0.0004606701356117005,329.23018888443283,328.2717296281443,3.4693630012831624,3.5
0.0,25.0,0.0880096886779812,0.18555194609533962,0.0005638146791438648,329.28174360853484,328.2889145361783,3.4747795855547534,3.5
0.0,30.000000000000004,0.10561162641357746,0.21817620113332484,0.0006629132803450848,329.3319698013084,328.3056566004361,3.480056588012579,3.5
0.0,35.0,0.1232135641491737,0.24957210662670173,0.0007582714064800886,329.3809676445374,328.3219892148458,3.485204534230886,3.5
0.0,40.0,0.14081550188476993,0.2798289190282821,0.0008501611855423006,329.42882639467456,328.33794213155824,3.4902328019166737,3.5
0.0,45.0,0.15841743962036617,0.30902650278887844,0.0009388260880393777,329.47562591617077,328.3535419720569,3.4951497820085886,3.5
0.0,50.0,0.1760193773559624,0.3372366037561246,0.001024484814755565,329.5214379548736,328.3688126516245,3.4999630124663157,3.5
0.0,55.00000000000001,0.19362131509155867,0.36452391379333504,0.0011073345468013572,329.5663272026464,328.3837757342155,3.5046792901243866,3.5
0.0,60.00000000000001,0.21122325282715493,0.3909469663968819,0.0011875536794988771,329.61035219298554,328.3984507309952,3.509304764790034,3.5
0.0,65.0,0.22882519056275114,0.41655889451953976,0.0012653041354530824,329.6535660588438,328.41285535294793,3.5138450188637314,3.5
0.0,70.0,0.2464271282983474,0.4414080752840401,0.0013407333322217152,329.6960171773439,328.4270057257813,3.5183051350758734,3.5
0.0,75.0,0.2640290660339436,0.46553868126116543,0.0014139758646861647,329.7377497210567,328.44091657368557,3.522689754406603,3.5
0.0,80.0,0.28163100376953987,0.4889911541062257,0.0014851549503672656,329.77880413163723,328.45460137721244,3.5270031258483874,3.5
0.0,85.00000000000001,0.29923294150513613,0.511802613318115,0.0015543836766726492,329.8192175285848,328.46807250952827,3.531249149352159,3.5
0.0,90.0,0.31683487924073234,0.5340072105020212,0.0016217660817809455,329.85902406350425,328.4813413545014,3.5354314130478137,3.5
0.0,95.0,0.3344368169763286,0.5556364376290646,0.0016873980951006497,329.8982552283669,328.49441840945565,3.5395532256314937,3.5
0.0,100.0,0.3520387547119248,0.5767193962808003,0.0017513683586427415,329.93694012475424,328.5073133749181,3.5436176446536134,3.5
0.0,105.0,0.369640692447521,0.5972830336585808,0.001813758946956273,329.97510569986764,328.5200352332892,3.547627501315169,3.5
0.0,110.00000000000001,0.38724263018311733,0.6173523501627401,0.0018746460002978652,330.0127769541073,328.53259231803577,3.5515854222770242,3.6
0.0,115.00000000000001,0.40484456791871354,0.636950582555108,0.0019341002832887417,330.04997712423534,328.5449923747451,3.555493848903796,3.6
0.0,120.00000000000001,0.42244650565430986,0.6560993660724632,0.0019921876793402584,330.08672784548827,328.55724261516275,3.559355054296237,3.6
0.0,125.0,0.440048443389906,0.6748188783287943,0.0020489696295111297,330.1230492954802,328.5693497651601,3.563171158410367,3.6
0.0,130.0,0.45765038112550227,0.6931279674076186,0.002104503523126231,330.15896032229466,328.58132010743157,3.5669441415153673,3.6
0.0,135.0,0.47525231886109853,0.7110442661841468,0.002158843046383104,330.1944785588068,328.5931595196023,3.57067585620491,3.6
0.0,140.0,0.4928542565966948,0.7285842946164696,0.002212038494254442,330.2296205249747,328.60487350832494,3.5743680381442733,3.6
0.0,145.00000000000003,0.5104561943322911,0.7457635514939485,0.0022641370502284653,330.26440171958774,328.61646723986263,3.5780223157099083,3.6
0.0,150.0,0.5280581320678872,0.7625965969205369,0.002315183037786606,330.29883670274995,328.6279455675833,3.581640218655508,3.6
0.0,155.0,0.5456600698034835,0.7790971266336753,0.0023652181469772803,330.3329391701987,328.6393130567329,3.5852231859203463,3.6
0.0,160.0,0.5632620075390797,0.7952780391097863,0.0024142816389878265,330.3667220204104,328.6505740068035,3.588772572679647,3.6
0.0,165.0,0.580863945274676,0.8111514962806357,0.0024624105312297064,330.4001974153168,328.66173247177227,3.5922896567237115,3.6
0.0,170.00000000000003,0.5984658830102723,0.8267289785769486,0.002509639765122831,330.4333768353487,328.6727922784496,3.5957756442411797,3.6
0.0,175.0,0.6160678207458684,0.8420213349237,0.002556002358484123,330.46627112943105,328.6837570431437,3.599231675071625,3.6
0.0,180.0,0.6336697584814647,0.8570388282327301,0.002601529544185043,330.4988905604757,328.69463018682524,3.6026588274853366,3.6
0.0,185.0,0.6512716962170609,0.8717911768707427,0.0026462508965365106,330.5312448468493,328.7054149489498,3.606058122540115,3.6
0.0,190.0,0.6688736339526572,0.8862875925225709,0.0026901944466821196,330.5633432002368,328.71611440007894,3.609430528059316,3.6
0.0,195.00000000000003,0.6864755716882535,0.9005368148193272,0.00273338678812715,330.5951943602691,328.72673145342304,3.6127769622701136,3.6
0.0,200.0,0.7040775094238496,0.91454714305761,0.0027758531733983074,330.62680662624297,328.7372688754144,3.6160982971360602,3.6
0.0,205.00000000000003,0.7216794471594459,0.9283264652981803,0.002817617602713905,330.65818788621914,328.7477292954064,3.619395361414255,3.6
0.0,210.0,0.739281384895042,0.9418822850997156,0.002858702905444099,330.68934564375627,328.7581152145854,3.622668943464271,3.6
0.0,215.0,0.7568833226306384,0.9552217461146112,0.0028991308150534303,330.72028704250675,328.76842901416893,3.6259197938321597,3.6
0.0,220.00000000000003,0.7744852603662347,0.9683516547487961,0.002938922038141619,330.75101888887656,328.77867296295886,3.6291486276312597,3.6
0.0,225.0,0.7920871981018308,0.9812785010656083,0.002978096318131691,330.781547672929,328.7888492243097,3.632356126738464,3.6
0.0,230.00000000000003,0.8096891358374271,0.9940084780945325,0.0030166724940958235,330.81187958769345,328.7989598625645,3.635542941822876,3.6
0.0,235.0,0.8272910735730234,1.0065474996886927,0.0030546685551576754,330.8420205470232,328.80900684900774,3.6387096942219963,3.6
0.0,240.00000000000003,0.8448930113086197,1.018901217060056,0.003092101690864457,330.87197620213016,328.8189920673767,3.6418569776790157,3.6
0.0,245.00000000000003,0.8624949490442159,1.0310750341081436,0.003128988337881796,330.90175195691387,328.82891731897126,3.6449853599532953,3.6
0.0,250.0,0.880096886779812,1.0430741216463757,0.0031653442233289066,330.9313529821877,328.8387843273959,3.6480953843150696,3.6
0.0,255.00000000000003,0.8976988245154084,1.0549034306198393,0.0032011844050400125,330.9607842288968,328.8485947429656,3.651187570934135,3.7
0.0,260.0,0.9153007622510045,1.0665677043990962,0.003236523309010007,330.9900504404116,328.85835014680384,3.654262418171538,3.7
0.0,265.00000000000006,0.9329026999866009,1.0780714902264725,0.003271374764257398,331.01915616397457,328.8680520546582,3.6573204037821987,3.7
0.0,270.0,0.9505046377221971,1.08941914988399,0.003305752035315391,331.0481057613677,328.8777019204559,3.660361986035603,3.7
0.0,275.0,0.9681065754577932,1.1006148696456173,0.003339667852542171,331.0769034188649,328.8873011396217,3.663387604761653,3.7
0.0,280.0,0.9857085131933896,1.1116626695706915,0.0033731344404236883,331.1055531565256,328.89685105217524,3.6663976823268256,3.7
0.0,285.0,1.0033104509289859,1.122566412190166,0.0034061635440264235,331.1340588368807,328.9063529456269,3.669392624546992,3.7
0.0,290.00000000000006,1.0209123886645821,1.1333298106326888,0.0034387664537433916,331.16242417305875,328.91580805768626,3.6723728215410967,3.7
0.0,295.0,1.0385143264001782,1.1439564362332981,0.003470954028463816,331.19065273639495,328.9252175787983,3.6753386485305652,3.7
